draw,nnp,dalys_accrued,dalys_no_care,dalys_averted_care,daly_ideal,yld,yll,yld_prediag,cost_art_drug,cost_art_svc,cost_hiv_care,cost_art,cost_total,cost_no_care,inc_cost,icer,pct_ever_dx,pct_ever_art,assigned_p1,prev_icer_125,net_saving_125,prev_icer_55,net_saving_55,treat_ce_500
0,26.963841980401618,5.113848102858504,16.63817459835792,11.524326495499416,1.022830401892035,1.2990453721105366,3.814802730747967,0.6750609111172351,1046.914857228608,2767.338620801147,1121.3094621376674,3814.253478029755,4935.562940167422,2477.0964788230613,2458.4664613443615,213.32842854673234,0.846,0.773,0.952,-306.04794298492766,1.0,-675.1376970535065,1.0,1.0
1,89.52893602799043,5.170258935574133,14.784247492311081,9.613988556736949,1.1349722618774485,1.3150094207387113,3.855249514835421,0.6205996340884642,867.6421672124669,2067.1604567058193,1348.2924569114607,2934.8026239182855,4283.095080829747,2507.050267337426,1776.044813492321,184.73548236624097,0.797,0.728,0.932,1336.107535183236,0.0,123.97762059832836,0.0,1.0
2,55.431046290609004,5.761105790896388,15.23999351132514,9.478887720428753,1.8045480119612554,1.3850448501083645,4.376060940788024,0.707012515408141,791.3948838866233,3192.7951533033697,1094.7060938708003,3984.1900371899933,5078.896131060794,2359.829746337071,2719.066384723723,286.85500503014003,0.807,0.736,0.919,321.11624441763405,0.0,-352.39564395525804,1.0,1.0
3,43.08639096052099,5.255474190379547,15.996099639027673,10.740625448648126,1.3141955569399615,1.4167088718976752,3.838765318481872,0.5381060418209813,876.8390798201955,2452.07434918945,1162.7656777528903,3328.9134290096454,4491.679106762536,2257.2358698047783,2234.4432369577567,208.0366034213581,0.809,0.743,0.925,170.1311301155898,0.0,-403.75568922366597,1.0,1.0
4,80.00486972271834,5.001671899950311,14.013640437623453,9.011968537673143,1.5424904838345768,1.068588821299044,3.933083078651267,0.4380965885076296,854.1136486908257,1273.6838624268848,1184.6568459482776,2127.7975111177107,3312.4543570659876,2472.345616319961,840.1087407460266,93.22144626161106,0.799,0.735,0.927,1337.183744167675,0.0,217.48997124228157,0.0,1.0
5,40.249451620850216,4.709793707733304,13.732500081889889,9.022706374156584,1.0008595939910052,1.292189836527938,3.417603871205366,0.6317685919934017,629.4068129601338,2470.346686815492,1125.2506910906875,3099.753499775625,4225.004190866314,2293.3071985219444,1931.6969923443685,214.0928577568765,0.819,0.731,0.934,171.17039763679037,0.0,-427.0429824595288,1.0,1.0
6,82.2361691184695,5.888369590277291,15.414425303361561,9.526055713084268,1.9541642621952846,1.5499815898960512,4.338388000381239,0.5830106005321034,833.0673330437797,1519.8772383003256,1251.2886921664929,2352.9445713441055,3604.2332635105977,2577.6690835653235,1026.5641799452744,107.76382281023862,0.797,0.723,0.925,1133.6394181710566,0.0,156.02893533080012,0.0,1.0
7,127.61860261013564,4.82298334429328,13.502510708244449,8.679527363951168,0.9435501977459585,1.1367793436502243,3.6862040006430554,0.6608905067027856,600.5416117019581,1636.6950853659844,1214.5240412537087,2237.2366970679423,3451.7607383216514,2458.4862235655505,993.2745147561009,114.43877910696902,0.798,0.722,0.929,2591.873887090322,0.0,739.6381348603903,0.0,1.0
8,47.48048096255895,6.118427385371426,16.834983234766007,10.716555849394584,1.5726331209951605,1.7498223024575308,4.368605082913894,0.7894599664405807,919.7789807144695,1831.6163472265205,1050.481654078809,2751.3953279409902,3801.8769820197995,2171.812944612732,1630.0640374070672,152.1070818194966,0.803,0.733,0.924,348.6489262584542,0.0,-194.56805713267275,1.0,1.0
9,86.69447065315416,5.169417769256537,15.154499145019269,9.985081375762732,1.1958902168528087,1.179888897299207,3.98952887195733,0.6255685704574625,805.1244863599461,1462.1678815423586,939.3055652266568,2267.2923679023047,3206.5979331289614,1966.456060527802,1240.1418726011593,124.19947579109524,0.814,0.745,0.932,1476.0290692490657,0.0,302.08391399155676,0.0,1.0
10,38.71957813435066,5.542891711448134,13.685027304290935,8.142135592842804,1.8591633992714756,1.6106551579747839,3.9322365534733508,0.8142215910492866,872.0724143508052,3038.2911093199655,1108.8087927703664,3910.36352367077,5019.172316441137,2000.5401547808274,3018.632161660309,370.742064810832,0.774,0.698,0.917,-32.33421451787303,1.0,-521.3155279731985,1.0,1.0
11,38.55666568624028,5.588751968859952,17.131457575577322,11.542705606717373,1.4934442709563236,1.5063375306348346,4.082414438225116,0.5841588602268012,1072.0496238780324,1132.4720958166788,993.8414750977071,2204.521719694712,3198.3631947924187,2031.7576765652816,1166.605518227137,101.06863658969361,0.854,0.776,0.94,290.08623481967277,0.0,-192.84208496893677,1.0,1.0
12,83.35986270403424,5.319550218228001,14.835159594148994,9.515609375920992,1.3587652775611678,1.3401516784665803,3.97939853976142,0.677793472149772,1020.8238515242462,2160.5647880991514,1310.6998829274116,3181.388639623398,4492.08852255081,2639.869576625701,1852.2189459251085,194.65058649970453,0.806,0.739,0.933,1114.3600628378156,0.0,17.427023407620737,0.0,1.0
13,30.23678451254984,5.008791410706263,13.664832069119518,8.656040658413254,1.2469337100322258,1.5226225403327784,3.4861688703734854,0.8107555687529515,976.2441436756382,1287.9391109359892,1027.677518448869,2264.1832546116275,3291.8607730604963,2386.858576864057,905.0021961964402,104.5515186341947,0.802,0.726,0.945,97.37624329208397,0.0,-325.1957391135562,1.0,1.0
14,25.60123248150735,5.025068245804411,14.232968374201905,9.207900128397494,1.1727946470073447,1.3571866834233204,3.6678815623810896,0.7500610264266797,950.8862033904574,1282.2162289809014,1160.0605317946895,2233.1024323713586,3393.1629641660484,2571.203128188239,821.9598359778092,89.26680616820067,0.789,0.725,0.928,-38.40921048958472,1.0,-395.03845133656904,1.0,1.0
15,135.6438468519982,4.5920423012733576,12.096044790672163,7.504002489398807,1.6953821055587166,1.3268825647428755,3.265159736530482,0.643913607670073,886.9160544911177,1608.8705122868405,1208.1766237979325,2495.7865667779583,3703.96319057589,2938.480104406532,765.4830861693586,102.00997231154787,0.78,0.721,0.931,2885.7568803861595,0.0,818.034360276333,0.0,1.0
16,107.73882846923306,5.4301183680138365,14.575364250444384,9.145245882430547,1.3363527090958218,1.3385781948987525,4.091540173115084,0.7052861842850074,763.6826946200216,2460.8242498783334,1028.3169594874864,3224.506944498355,4252.823903985841,2197.6841589660135,2055.139745019828,224.7221968047982,0.783,0.711,0.928,1696.9297960329125,0.0,308.06173060161825,0.0,1.0
17,30.891172210218663,4.607105943279942,11.15719612181704,6.550090178537099,1.805924535931729,1.3868889397094146,3.2202170035705278,0.6307989666926538,744.315443476228,2059.303125621404,1229.4262600104087,2803.6185690976317,4033.0448291080406,2771.134589672086,1261.9102394359547,192.65539939753785,0.762,0.68,0.933,-37.25729448029715,1.0,-506.6152995570892,1.0,1.0
18,105.32697444530203,5.823385050854024,14.074033231319383,8.25064818046536,1.890405120895709,1.3823757816180404,4.441009269235984,0.5724521298385633,840.5354155366728,1427.7952035848227,1507.101178077295,2268.3306191214956,3775.4317971987903,2867.4031539301786,908.0286432686112,110.0554312106659,0.77,0.698,0.895,1612.5397730804038,0.0,346.45687682921437,0.0,1.0
19,22.046430896366164,4.434071302162024,12.31418302295494,7.880111720792916,0.7235288194409112,1.4063959839976494,3.0276753181643747,0.8406649297132867,876.4661354891201,1809.8049560482077,960.5668708916957,2686.2710915373286,3646.8379624290233,2208.858331067861,1437.9796313611628,182.48213760305288,0.757,0.687,0.929,-200.95168518124424,1.0,-548.995290612928,1.0,1.0
20,87.88004991278058,4.546749303950979,15.148976313750696,10.602227009799718,0.8923979880710289,1.250774581486606,3.295974722464373,0.631484872181337,946.4626733241959,2057.603583448202,887.1717707246213,3004.066256772398,3891.2380274970187,2170.697317832705,1720.5407096643141,162.28106680549337,0.813,0.754,0.927,1560.184592855449,0.0,207.21721272100964,0.0,1.0
