draw,nnp,dalys_accrued,dalys_no_care,dalys_averted_care,daly_ideal,yld,yll,yld_prediag,cost_art_drug,cost_art_svc,cost_hiv_care,cost_art,cost_total,cost_no_care,inc_cost,icer,pct_ever_dx,pct_ever_art,assigned_p1,prev_icer_125,net_saving_125,prev_icer_55,net_saving_55,treat_ce_500
0,26.963841980401618,10.166024235110926,16.63817459835792,6.4721503632469926,1.022830401892035,1.5812913001363458,8.58473293497458,0.9353345497964335,463.16368237449683,1393.7289041156125,1881.78601143031,1856.8925864901096,3738.6785979204196,2477.0964788230613,1261.5821190973584,194.9247233595542,0.643,0.46,0.73,-36.21851983182879,1.0,-221.88293445217406,1.0,1.0
1,89.52893602799043,9.329660395071736,14.784247492311081,5.4545870972393455,1.1349722618774485,1.4819048878139298,7.847755507257806,0.8566738729200367,384.73960333261,1059.109667800142,2002.6544806004918,1443.849271132752,3446.5037517332435,2507.050267337426,939.4534843958179,172.2318239030944,0.596,0.42,0.697,830.1066623878983,0.0,158.37529633841177,0.0,1.0
2,55.431046290609004,9.6120745478109,15.23999351132514,5.627918963514242,1.8045480119612554,1.6166314453851356,7.995443102425765,0.9560879270664525,378.7073410152691,1702.4999193486442,1727.1986159709115,2081.207260363913,3808.405876334825,2359.829746337071,1448.576129997754,257.39107819228786,0.612,0.438,0.694,324.6411473891422,0.0,-79.03583420754337,1.0,1.0
3,43.08639096052099,10.445127084982532,15.996099639027673,5.55097255404514,1.3141955569399615,1.4294116424537069,9.015715442528824,0.7472172975601515,351.5478870948843,1156.919980789569,1929.6814288326484,1508.4678678844534,3438.1492967171016,2257.2358698047783,1180.9134269123233,212.73991456717985,0.607,0.414,0.695,186.46489961316527,0.0,-102.28672041956625,1.0,1.0
4,80.00486972271834,9.04921921218349,14.013640437623453,4.964421225439965,1.5424904838345768,1.1691172018086937,7.880102010374794,0.6411876710488934,363.85034420937177,660.148737701745,1901.2821299404288,1023.9990819111171,2925.281211851546,2472.345616319961,452.9355955315843,91.23633450170085,0.604,0.418,0.703,781.8715999234854,0.0,162.99600974547093,0.0,1.0
5,40.249451620850216,8.849218078697213,13.732500081889889,4.883282003192674,1.0008595939910052,1.499664866819327,7.349553211877886,0.8752741299383829,270.5931950189559,1222.4874817531734,1760.8363137625768,1493.080676772129,3253.916990534706,2293.3071985219444,960.6097920127613,196.7139705191545,0.617,0.416,0.704,200.83858780133272,0.0,-117.54678686154413,1.0,1.0
6,82.2361691184695,10.358103609047493,15.414425303361561,5.056321694314067,1.9541642621952846,1.5058013194925357,8.852302289554958,0.7873029712339399,334.8493531927812,735.9900933481393,2005.770230551392,1070.8394465409206,3076.6096770923127,2577.6690835653235,498.9405935269889,98.6765921337753,0.578,0.398,0.672,695.3890146865155,0.0,139.63749340759068,0.0,1.0
7,127.61860261013564,8.752984417174503,13.502510708244449,4.749526291069945,0.9435501977459585,1.4040724591442917,7.34891195803021,0.8932912739462454,285.27545857162795,842.7089443928696,1880.281824150663,1127.9844029644973,3008.2662271151603,2458.4862235655505,549.7800035496099,115.75470264967386,0.599,0.423,0.701,1478.8166506676116,0.0,458.2159324507273,0.0,1.0
8,47.48048096255895,11.28186307726744,16.834983234766007,5.553120157498568,1.5726331209951605,1.9450034939189307,9.336859583348511,1.123290386830247,406.23179036615596,882.6632763352593,1687.188579969767,1288.895066701415,2976.0836466711826,2171.812944612732,804.2707020584505,144.83221670837003,0.589,0.401,0.673,262.27728996382876,0.0,-32.32242682196806,1.0,1.0
9,86.69447065315416,9.425826258867332,15.154499145019269,5.728672886151938,1.1958902168528087,1.4456096304684494,7.980216628398882,0.8959992319888158,342.44928151723184,770.6719852695827,1404.24337668696,1113.1212667868144,2517.364643473775,1966.456060527802,550.9085829459726,96.16687737184253,0.595,0.422,0.683,882.6222720097339,0.0,238.79405164425108,0.0,1.0
10,38.71957813435066,9.226149444826511,13.685027304290935,4.458877859464428,1.8591633992714756,1.7715727063541071,7.454576738472401,1.0767412326037455,341.2150900651141,1465.0138205115827,1612.3121348970908,1806.228910576697,3418.541045473788,2000.5401547808274,1418.00089069296,318.017432947419,0.581,0.392,0.688,154.06277882449504,0.0,-139.707714013594,1.0,1.0
11,38.55666568624028,10.403911569048722,17.131457575577322,6.727546006528603,1.4934442709563236,1.6571902648144614,8.746721304234262,0.8643808269683424,486.20838394107125,603.8175490297515,1505.2812830222476,1090.0259329708229,2595.3072159930703,2031.7576765652816,563.5495394277887,83.76747463055683,0.644,0.456,0.707,213.79228187637707,0.0,-45.6261666681254,1.0,1.0
12,83.35986270403424,9.352311056153962,14.835159594148994,5.482848537995031,1.3587652775611678,1.5752073031560707,7.777103752997889,0.945337933831125,421.45587086684895,1097.8577591048793,2029.8952625192276,1519.3136299717285,3549.208892490956,2639.869576625701,909.3393158652548,165.85162066099716,0.602,0.434,0.697,734.6605458543053,0.0,110.73023020866034,0.0,1.0
13,30.23678451254984,8.800491784003686,13.664832069119518,4.86434028511583,1.2469337100322258,1.8045153380719283,6.99597644593176,1.1172006371186456,418.882233674291,661.7980386758533,1683.9559870700314,1080.6802723501442,2764.6362594201755,2386.858576864057,377.77768255611903,77.6626758025263,0.597,0.411,0.708,115.33012353848352,0.0,-125.1763126729229,1.0,1.0
14,25.60123248150735,9.13505296777295,14.232968374201905,5.097915406428952,1.1727946470073447,1.6119193162010157,7.523133651571935,1.0170073261808317,409.02752064783846,681.8665370640389,1874.1409089467838,1090.8940577118776,2965.0349666586612,2571.203128188239,393.8318384704222,77.2535060063498,0.597,0.413,0.703,25.73812044212781,0.0,-170.43876873713768,1.0,1.0
15,135.6438468519982,7.929133288374465,12.096044790672163,4.166911502297698,1.6953821055587166,1.4316607012774918,6.497472587096972,0.86761812726121,418.1295752792341,808.470012768581,1996.98915888913,1226.5995880478151,3223.5887469369454,2938.480104406532,285.1086425304131,68.42205368969316,0.588,0.414,0.704,1731.8276298490598,0.0,534.336184780107,0.0,1.0
