age,qx_non_hiv,qx_all_cause,hiv_share_of_all_cause,source
0,0.037830,0.039000,0.0300,UN WPP 2024 ESA + GBD 2021 ESA (group 0-0)
1,0.023699,0.024537,0.0340,UN WPP 2024 ESA + GBD 2021 ESA (group 1-4)
2,0.009234,0.009642,0.0420,UN WPP 2024 ESA + GBD 2021 ESA (group 1-4)
3,0.003582,0.003771,0.0500,UN WPP 2024 ESA + GBD 2021 ESA (group 1-4)
4,0.002545,0.002674,0.0478,UN WPP 2024 ESA + GBD 2021 ESA (group 1-4)
5,0.001808,0.001895,0.0456,UN WPP 2024 ESA + GBD 2021 ESA (group 5-9)
6,0.001285,0.001343,0.0433,UN WPP 2024 ESA + GBD 2021 ESA (group 5-9)
7,0.000913,0.000952,0.0411,UN WPP 2024 ESA + GBD 2021 ESA (group 5-9)
8,0.000747,0.000779,0.0405,UN WPP 2024 ESA + GBD 2021 ESA (group 5-9)
9,0.000704,0.000735,0.0415,UN WPP 2024 ESA + GBD 2021 ESA (group 5-9)
10,0.000664,0.000694,0.0425,UN WPP 2024 ESA + GBD 2021 ESA (group 10-14)
11,0.000626,0.000655,0.0435,UN WPP 2024 ESA + GBD 2021 ESA (group 10-14)
12,0.000591,0.000618,0.0445,UN WPP 2024 ESA + GBD 2021 ESA (group 10-14)
13,0.000591,0.000621,0.0490,UN WPP 2024 ESA + GBD 2021 ESA (group 10-14)
14,0.000627,0.000665,0.0570,UN WPP 2024 ESA + GBD 2021 ESA (group 10-14)
15,0.000665,0.000711,0.0650,UN WPP 2024 ESA + GBD 2021 ESA (group 15-19)
16,0.000705,0.000761,0.0730,UN WPP 2024 ESA + GBD 2021 ESA (group 15-19)
17,0.000747,0.000814,0.0810,UN WPP 2024 ESA + GBD 2021 ESA (group 15-19)
18,0.000806,0.000888,0.0920,UN WPP 2024 ESA + GBD 2021 ESA (group 15-19)
19,0.000884,0.000989,0.1060,UN WPP 2024 ESA + GBD 2021 ESA (group 15-19)
20,0.000969,0.001102,0.1200,UN WPP 2024 ESA + GBD 2021 ESA (group 20-24)
21,0.001062,0.001228,0.1340,UN WPP 2024 ESA + GBD 2021 ESA (group 20-24)
22,0.001165,0.001368,0.1480,UN WPP 2024 ESA + GBD 2021 ESA (group 20-24)
23,0.001280,0.001532,0.1640,UN WPP 2024 ESA + GBD 2021 ESA (group 20-24)
24,0.001409,0.001726,0.1820,UN WPP 2024 ESA + GBD 2021 ESA (group 20-24)
25,0.001550,0.001943,0.2000,UN WPP 2024 ESA + GBD 2021 ESA (group 25-29)
26,0.001707,0.002188,0.2180,UN WPP 2024 ESA + GBD 2021 ESA (group 25-29)
27,0.001878,0.002463,0.2360,UN WPP 2024 ESA + GBD 2021 ESA (group 25-29)
28,0.002016,0.002701,0.2520,UN WPP 2024 ESA + GBD 2021 ESA (group 25-29)
29,0.002111,0.002883,0.2660,UN WPP 2024 ESA + GBD 2021 ESA (group 25-29)
30,0.002210,0.003079,0.2800,UN WPP 2024 ESA + GBD 2021 ESA (group 30-34)
31,0.002314,0.003287,0.2940,UN WPP 2024 ESA + GBD 2021 ESA (group 30-34)
32,0.002422,0.003509,0.3080,UN WPP 2024 ESA + GBD 2021 ESA (group 30-34)
33,0.002540,0.003733,0.3180,UN WPP 2024 ESA + GBD 2021 ESA (group 30-34)
34,0.002667,0.003956,0.3240,UN WPP 2024 ESA + GBD 2021 ESA (group 30-34)
35,0.002800,0.004192,0.3300,UN WPP 2024 ESA + GBD 2021 ESA (group 35-39)
36,0.002940,0.004443,0.3360,UN WPP 2024 ESA + GBD 2021 ESA (group 35-39)
37,0.003088,0.004708,0.3420,UN WPP 2024 ESA + GBD 2021 ESA (group 35-39)
38,0.003246,0.004957,0.3430,UN WPP 2024 ESA + GBD 2021 ESA (group 35-39)
39,0.003416,0.005186,0.3390,UN WPP 2024 ESA + GBD 2021 ESA (group 35-39)
40,0.003594,0.005426,0.3350,UN WPP 2024 ESA + GBD 2021 ESA (group 40-44)
41,0.003782,0.005676,0.3310,UN WPP 2024 ESA + GBD 2021 ESA (group 40-44)
42,0.003980,0.005938,0.3270,UN WPP 2024 ESA + GBD 2021 ESA (group 40-44)
43,0.004234,0.006253,0.3200,UN WPP 2024 ESA + GBD 2021 ESA (group 40-44)
44,0.004553,0.006629,0.3100,UN WPP 2024 ESA + GBD 2021 ESA (group 40-44)
45,0.004895,0.007028,0.3000,UN WPP 2024 ESA + GBD 2021 ESA (group 45-49)
46,0.005264,0.007450,0.2900,UN WPP 2024 ESA + GBD 2021 ESA (group 45-49)
47,0.005660,0.007897,0.2800,UN WPP 2024 ESA + GBD 2021 ESA (group 45-49)
48,0.006118,0.008400,0.2680,UN WPP 2024 ESA + GBD 2021 ESA (group 45-49)
49,0.006650,0.008964,0.2540,UN WPP 2024 ESA + GBD 2021 ESA (group 45-49)
50,0.007228,0.009565,0.2400,UN WPP 2024 ESA + GBD 2021 ESA (group 50-54)
51,0.007857,0.010207,0.2260,UN WPP 2024 ESA + GBD 2021 ESA (group 50-54)
52,0.008539,0.010891,0.2120,UN WPP 2024 ESA + GBD 2021 ESA (group 50-54)
53,0.009331,0.011693,0.1980,UN WPP 2024 ESA + GBD 2021 ESA (group 50-54)
54,0.010251,0.012630,0.1840,UN WPP 2024 ESA + GBD 2021 ESA (group 50-54)
55,0.011261,0.013642,0.1700,UN WPP 2024 ESA + GBD 2021 ESA (group 55-59)
56,0.012370,0.014735,0.1560,UN WPP 2024 ESA + GBD 2021 ESA (group 55-59)
57,0.013587,0.015914,0.1420,UN WPP 2024 ESA + GBD 2021 ESA (group 55-59)
58,0.014890,0.017176,0.1290,UN WPP 2024 ESA + GBD 2021 ESA (group 55-59)
59,0.016281,0.018527,0.1170,UN WPP 2024 ESA + GBD 2021 ESA (group 55-59)
60,0.017801,0.019983,0.1050,UN WPP 2024 ESA + GBD 2021 ESA (group 60-64)
61,0.019461,0.021553,0.0930,UN WPP 2024 ESA + GBD 2021 ESA (group 60-64)
62,0.021274,0.023243,0.0810,UN WPP 2024 ESA + GBD 2021 ESA (group 60-64)
63,0.023190,0.025084,0.0720,UN WPP 2024 ESA + GBD 2021 ESA (group 60-64)
64,0.025205,0.027087,0.0660,UN WPP 2024 ESA + GBD 2021 ESA (group 60-64)
65,0.027392,0.029249,0.0600,UN WPP 2024 ESA + GBD 2021 ESA (group 65-69)
66,0.029766,0.031579,0.0540,UN WPP 2024 ESA + GBD 2021 ESA (group 65-69)
67,0.032343,0.034093,0.0480,UN WPP 2024 ESA + GBD 2021 ESA (group 65-69)
68,0.035207,0.036913,0.0430,UN WPP 2024 ESA + GBD 2021 ESA (group 65-69)
69,0.038391,0.040082,0.0390,UN WPP 2024 ESA + GBD 2021 ESA (group 65-69)
70,0.041858,0.043516,0.0350,UN WPP 2024 ESA + GBD 2021 ESA (group 70-74)
71,0.045631,0.047238,0.0310,UN WPP 2024 ESA + GBD 2021 ESA (group 70-74)
72,0.049734,0.051269,0.0270,UN WPP 2024 ESA + GBD 2021 ESA (group 70-74)
73,0.054206,0.055704,0.0240,UN WPP 2024 ESA + GBD 2021 ESA (group 70-74)
74,0.059080,0.060587,0.0220,UN WPP 2024 ESA + GBD 2021 ESA (group 70-74)
75,0.064376,0.065882,0.0200,UN WPP 2024 ESA + GBD 2021 ESA (group 75-79)
76,0.070129,0.071623,0.0180,UN WPP 2024 ESA + GBD 2021 ESA (group 75-79)
77,0.076375,0.077842,0.0160,UN WPP 2024 ESA + GBD 2021 ESA (group 75-79)
